,index_seg,cycle_lane,is_shared,cycle_way,side_walk,bikable
187,1212,one,0,,both,
188,1214,both,0,,,
189,1215,one,0,,,
190,1218,,0,,,yes
191,1219,one,0,,,
192,1220,one,0,,,
193,1222,one,0,,,
194,1223,both,0,,,
195,1226,one,0,,,
196,1227,both,0,,,
197,1236,one,0,,,
198,1237,both,0,,,
199,1238,both,0,,,
200,1240,both,0,both,,
201,1241,both,0,,,
202,1243,,0,both,,
203,1247,,0,both,,
204,1249,,0,both,,
205,1256,one,0,,,
206,1258,,0,,,yes
207,1259,one,0,,,
208,1269,,0,both,,
209,1273,,0,,,no
210,1275,,0,,,no
211,1281,,0,both,,
212,1282,,0,both,,
213,1289,,0,both,,
214,1293,both,0,,,
215,1294,both,0,,,
216,1295,both,0,,,
217,1296,both,0,,,
218,1297,both,0,,,
219,1313,one,1,,,
220,1318,,0,,both,yes
221,1321,,0,,both,yes
222,1327,,0,,both,
223,1335,,0,,both,
224,1339,,0,,both,yes
225,1341,,0,,both,
226,1343,,0,,both,
227,1344,,0,,both,
228,1351,,0,,both,yes
229,1356,,0,,both,yes
230,1357,,0,,both,yes
231,1361,one,0,,both,
232,1362,one,0,,both,
233,1363,one,0,,both,
234,1368,,0,,,yes
235,1369,,0,,both,
236,1370,one,0,,both,
237,1371,one,0,,both,
238,1372,,0,,,
239,1376,,0,,both,yes
240,1377,,0,,,
241,1378,,0,,both,yes
242,1379,one,0,,both,
243,1381,,0,,both,
244,1384,one,0,,both,
245,1388,one,0,,both,
246,1389,one,0,,both,
247,1393,one,0,,both,
248,1434,,0,,,no
249,1438,one,0,,,
250,1449,both,0,,,no
251,1473,one,0,,,no
252,1475,,0,,both,yes
253,1476,,0,,both,no
254,1483,both,0,,,
255,1484,both,0,,,
256,1485,both,0,,,
257,1486,,0,,,yes
258,1490,one,0,,,no
259,1491,one,0,,,
260,1492,one,0,,,
261,1533,one,1,,,
262,1534,one,1,,,
263,1535,one,1,,,
264,1551,one,0,,both,
265,1552,one,0,,both,
266,1558,one,0,,both,
267,1559,one,0,,,
268,1561,one,1,,,
269,1562,one,1,,,
270,1563,one,0,,both,
271,1564,one,1,,,
272,1565,one,1,,,
273,1566,one,1,,,
274,1567,one,1,,,
275,1568,one,1,,,
276,1569,one,1,,,
277,1571,one,1,,,
278,1574,one,0,,,
279,1576,one,0,,,
280,1580,,0,,both,yes
281,1581,,0,,both,yes
282,1583,one,0,,both,
283,1584,one,0,,both,
284,1585,one,0,,both,
285,1586,one,0,,both,
286,1590,,0,,both,yes
287,1603,,0,,both,yes
288,1607,one,0,,both,
289,1608,,0,,,yes
290,1615,,0,,both,yes
291,1617,,0,,both,
292,1618,,0,,both,yes
293,1619,,0,,both,yes
294,1705,,0,,,yes
295,1706,,0,,,yes
296,1787,one,0,,,
297,1788,one,1,,,
298,1793,one,1,,,
299,1794,one,1,,,
300,1795,one,1,,,
301,1802,one,0,,,
302,1804,one,0,,,
303,1805,,0,,both,
304,1807,one,0,,,
305,1808,one,0,,,
306,1810,one,0,,,
307,1812,one,0,,,
308,1813,one,0,,,
309,1814,one,0,,,
310,1815,one,0,,,
311,1817,,0,,both,
312,1818,,0,,both,
313,1826,,0,,,yes
314,1836,both,1,,,yes
315,1839,,0,,both,
316,1853,both,0,,,
317,1890,one,1,,,
318,1891,one,1,,,
319,1916,one,1,,,
320,1923,one,1,,,
321,1924,one,1,,,
322,1927,one,1,,,
323,1928,one,1,,,
324,1929,one,1,,,
325,1930,one,1,,,
326,1933,one,1,,,
327,1949,,0,,,yes
328,1960,one,1,,,
329,1970,one,1,,,
330,1972,one,1,,,
331,1975,one,1,,,
332,1976,one,1,,,
333,1977,one,1,,,
334,1978,both,0,,,
335,1982,one,1,,,
336,1984,one,0,,,
337,1985,both,0,,,
338,1986,one,0,,,
339,1988,one,0,,,
340,1990,one,0,,,
341,1991,both,0,,,
342,1993,one,0,,,
343,1994,one,0,,,
344,1995,one,0,,,
345,1997,one,0,,,
346,2000,,0,,,yes
347,2003,one,0,,,
348,2014,both,1,,,
349,2031,both,0,,,
350,2032,both,0,,,
351,2059,both,1,,,
352,2061,both,1,,,
353,2126,both,0,,,
354,2127,both,0,,,
355,2128,both,0,,,
356,2129,both,0,,,
357,2156,both,0,,,
358,2157,both,0,,,
359,2158,both,0,,,
360,2159,both,0,,,
361,2181,one,1,,,
362,2182,,0,,,yes
363,2187,one,0,,,
364,2189,one,0,,,
365,2191,one,0,,,
366,2194,one,0,,,
367,2195,one,0,,,
368,2198,one,0,,,
369,2204,one,0,,,
370,2205,one,0,,,
371,2356,one,0,,,
372,2365,one,1,,,
373,2367,one,1,,,
374,2368,one,1,,,
375,2370,one,0,,,
376,2372,one,0,,,
377,2373,one,0,,,
378,2377,one,0,,,
379,2378,one,0,,,
380,2379,one,0,,,
381,2383,one,0,,,
382,2384,one,0,,,
383,2405,one,1,,,
384,2491,,0,,,yes
385,2493,both,0,,,
386,2494,both,0,,,
387,2495,both,0,,,
388,2496,both,0,,,
389,2497,both,0,,,
390,2501,,0,,,yes
391,2506,both,0,,,
392,2512,one,0,,,
393,2518,one,1,,,
394,2532,one,0,,,
395,2533,both,0,,,
396,2534,both,0,,,
397,2542,one,0,,,
398,2556,,0,,,yes
399,2604,one,1,,,
400,2606,one,1,,,
401,2608,one,1,,,
402,2610,one,1,,,
403,2611,one,1,,,
404,2613,one,1,,,
405,2639,one,0,,,
406,2641,one,0,,,
407,2645,one,0,,,
408,2647,one,0,,,
409,2648,one,0,,,
410,2667,both,0,,,
411,2669,both,0,,,
412,2719,both,0,,,
413,2721,both,0,,,
414,2722,both,0,,,
415,2723,both,0,,,
416,2724,both,0,,,
417,2725,both,0,,,
418,2727,both,0,,,
419,2729,both,0,,,
420,2732,both,1,,,
421,2745,one,1,,,
422,2752,one,0,,,
423,2755,one,0,,,
424,2756,one,0,,,
425,2757,one,1,,,
426,2758,one,1,,,
427,2759,one,1,,,
428,2765,both,1,,,
429,2808,both,0,,,
430,2809,both,0,,,
431,2812,both,0,,,
432,2814,one,0,,,
433,2816,both,0,,,
434,2823,both,0,,,
435,2824,both,0,,,
436,2825,both,0,,,
437,2873,one,0,,,
438,2909,one,1,,,
439,2911,one,0,,,yes
440,2914,both,1,,,
441,2916,one,0,,,
442,2917,one,1,,,
443,2928,one,0,,,
444,2929,one,0,,,yes
445,2931,both,0,,,
446,2932,both,0,,,
447,2933,both,0,,,
448,2934,both,0,,,
449,3019,one,0,,,
450,3026,one,0,,,
451,3027,one,0,,,
452,3036,one,0,,,
453,3038,one,0,,,
454,3039,one,0,,,
455,3040,one,0,,,
456,3043,one,0,,,
457,3044,one,0,,,
458,3046,one,0,,,
459,3047,one,0,,,
460,3049,one,0,,,
461,3075,both,0,,,
462,3076,both,0,,,
463,3086,,0,,,yes
464,3087,,0,,,yes
465,3089,,0,,,no
466,3091,,0,,,no
467,3102,,0,,,no
468,3103,,0,,,no
469,3110,,0,,both,
470,3116,,0,,both,
471,3118,,0,,both,
472,3137,both,0,,,
473,3196,both,0,,,
474,3213,,0,,both,
475,3214,,0,,both,
476,3216,,0,,both,
477,3220,,0,,both,
478,3223,,0,,both,
479,3224,,0,,both,
480,3226,,0,,both,
481,3227,,0,,both,
482,3228,,0,,both,
483,3229,,0,,right,
484,3231,,0,,both,
485,3249,both,0,,,yes
486,3251,both,0,,,yes
487,3287,both,0,,,
488,3288,both,0,,,
489,3291,both,0,,,
490,3292,both,0,,,
491,3311,,0,,both,
492,3313,,0,,both,
493,3314,both,0,,both,
494,3315,,0,,both,
495,3317,,0,,both,
496,3320,,0,,both,
497,3322,,0,,both,
498,3327,both,0,,both,
499,3334,both,0,,both,
500,3335,both,0,,,yes
501,3339,,0,,,yes
502,3350,,0,,,yes
503,3352,,0,,,yes
504,3403,one,0,,,
505,3404,both,0,,,
506,3406,both,0,,,
507,3440,both,0,,,
508,3447,both,0,,,
509,3448,both,0,,,
510,3451,both,0,,,
511,3479,both,0,,,
512,3480,both,0,,,
513,3499,both,0,,,
514,3515,,0,,both,
515,3519,both,0,,both,
516,3526,,0,,both,
517,3536,,0,,both,
518,3544,both,1,,,
519,3545,both,0,,,
520,3546,one,1,,,
521,3547,one,0,,,yes
522,3548,,0,both,,
523,3557,,0,both,,
524,3559,,0,both,,
525,3565,both,0,,,yes
526,3601,,0,,,yes
527,3602,both,0,,,
528,3603,both,0,,,
529,3616,,0,,right,
530,3617,,0,,right,
531,3618,,0,,both,
532,3619,,0,,right,
533,3620,,0,,right,
534,3639,both,0,,,
535,3640,both,0,,,
536,3657,both,0,,,
537,3712,,0,,both,
538,3713,,0,,both,
539,3714,,0,,both,
540,3715,,0,,both,
541,3716,,0,,both,
542,3740,,0,,,yes
543,3741,,0,both,,yes
544,3742,,0,,,yes
545,3743,,0,,,yes
546,3745,one,0,,,
547,3746,,0,,,yes
548,3749,one,0,,,
549,3752,,0,,,yes
550,3753,one,0,,,
551,3754,,0,,,yes
552,3795,both,0,,both,
553,3797,both,0,,both,
554,3798,both,0,,both,
555,3801,both,0,,both,
556,3803,both,0,,both,
557,3816,both,0,,both,
558,3817,,0,,both,
559,3818,,0,,both,
560,3820,,0,,left,
561,3821,,0,,left,
562,3832,,0,,both,
563,3842,,0,,,yes
564,3878,both,0,,,
565,3880,both,0,,,
566,3881,both,0,,,
567,3884,,0,,,yes
568,3885,,0,,,yes
569,3887,,0,,,yes
570,3893,both,0,,,
571,3894,both,0,,,
572,3899,both,0,,both,
573,3901,both,0,,both,
574,3903,both,0,,both,
575,3904,both,0,,both,
576,3906,both,0,,both,
577,3910,both,0,,,
578,3911,both,0,,,
579,3912,both,0,,both,
580,3941,both,0,,,
581,3950,both,0,,,
582,3968,both,0,,,
583,3989,both,0,,,
584,4004,,0,,both,
585,4005,,0,,both,
586,4007,,0,,both,
587,4009,,0,,both,
588,4011,,0,,both,
589,4013,,0,,both,
590,4041,both,0,,,
591,4055,both,0,,,
592,4057,both,0,,,
593,4060,both,0,,,
594,4061,both,0,,,
595,4062,both,0,,,
596,4075,both,0,,,
597,4088,both,0,,,
598,4090,both,0,,,
599,4094,,0,,both,
600,4095,,0,,both,
601,4097,,0,,both,
602,4103,,0,,both,
603,4104,,0,,both,
604,4106,,0,,right,
605,4107,,0,,right,
606,4113,,0,,right,
607,4149,both,0,,,
608,4165,both,0,,,
609,4177,both,0,,,
610,4178,both,0,,,
611,4194,,0,,right,
612,4198,,0,,both,
613,4202,,0,,right,
614,4203,,0,,right,
615,4205,,0,,both,
616,4206,,0,,both,
617,4207,,0,,both,
618,4208,,0,,both,
619,4209,,0,,both,
620,4210,,0,,right,
621,4213,,0,,both,
622,4215,,0,,both,
623,4216,,0,,right,
624,4229,both,0,,,
625,4235,both,0,,,
626,4243,both,0,,,
627,4247,both,0,,,
628,4250,both,0,,,
