,seg_index,art,outdoors and recreation,retail shop,professional service,food,nightlife spot,residence,schools&university,cycling facilities,transportation,total
1126,1154,0,2,11,40,23,3,0,0,5,0,84
1127,1155,1,0,3,16,12,3,0,0,2,0,37
1128,1156,0,0,1,18,6,0,0,0,1,1,27
1129,1157,0,2,1,7,4,1,0,0,1,3,19
1130,1158,0,2,3,12,11,4,0,0,6,4,42
1131,1159,0,2,2,5,9,1,0,0,7,1,27
1132,1160,0,3,1,1,2,0,3,0,2,0,12
1133,1161,0,1,0,2,0,0,5,0,8,0,16
1134,1162,0,0,0,4,0,0,3,0,9,0,16
1135,1163,0,0,0,0,0,0,1,0,3,0,4
1136,1164,0,1,0,0,0,0,1,0,3,1,6
1137,1165,0,2,0,0,0,0,1,0,3,0,6
1138,1166,0,1,1,0,0,0,2,0,3,0,7
1139,1167,0,9,1,0,0,0,3,0,2,0,15
1140,1168,0,0,0,0,0,0,2,3,1,0,6
1141,1169,0,1,1,0,0,1,2,0,1,1,7
1142,1170,0,1,0,0,0,0,2,0,1,0,4
1143,1171,0,2,0,0,0,0,2,0,4,0,8
1144,1172,0,3,0,0,0,0,2,0,5,0,10
1145,1173,0,2,0,0,0,0,1,0,3,0,6
1146,1174,0,0,0,0,0,0,5,0,3,2,10
1147,1175,0,0,0,0,0,0,0,0,1,0,1
1148,1176,1,2,0,4,0,0,1,0,0,0,8
1149,1177,0,1,0,1,0,0,3,0,0,0,5
1150,1178,0,0,0,0,0,0,3,0,0,1,4
1151,1179,0,0,0,2,0,0,1,0,0,0,3
1152,1180,0,0,0,4,0,0,0,0,0,1,5
1153,1181,0,0,0,3,0,0,0,0,0,3,6
1154,1182,0,7,0,0,0,0,0,1,3,0,11
1155,1183,0,6,0,4,0,0,2,1,2,2,17
1156,1184,0,3,0,1,0,0,1,2,5,2,14
1157,1185,0,3,1,5,0,0,1,2,6,1,19
1158,1186,0,2,1,5,1,0,3,2,9,7,30
1159,1187,0,1,6,5,1,0,0,1,7,6,27
1160,1188,0,5,7,3,2,1,1,0,7,2,28
1161,1189,0,10,1,15,6,1,1,2,5,3,44
1162,1190,0,3,0,3,0,0,0,0,0,1,7
1163,1191,0,2,0,2,0,0,1,0,0,0,5
1164,1192,0,0,0,0,0,0,2,0,0,0,2
1165,1193,0,1,1,0,1,0,1,0,0,0,4
1166,1194,0,0,0,2,1,1,0,0,2,0,6
1167,1195,0,3,0,0,0,0,0,2,3,0,8
1168,1196,0,4,0,0,0,1,1,1,3,1,11
1169,1197,0,1,0,0,0,0,1,0,0,0,2
1170,1198,0,9,0,0,0,0,0,0,10,0,19
1171,1199,0,1,0,0,0,0,0,0,6,2,9
1172,1200,0,1,0,0,0,0,0,0,3,1,5
1173,1201,0,0,0,0,0,0,0,0,3,0,3
1174,1202,0,1,5,2,5,0,0,0,11,6,30
1175,1203,0,1,5,6,4,0,0,0,9,1,26
1176,1204,0,2,0,0,0,0,1,0,4,0,7
1177,1205,0,2,0,1,0,0,0,0,5,0,8
1178,1206,0,0,0,1,0,0,0,0,5,0,6
1179,1207,0,1,1,0,1,0,0,0,4,0,7
1180,1208,0,0,1,0,2,0,0,0,2,0,5
1181,1209,0,0,0,1,1,0,0,0,2,0,4
1182,1210,0,2,0,0,0,0,0,0,0,1,3
1183,1211,0,0,0,1,0,0,0,0,4,1,6
1184,1212,0,0,0,0,0,0,2,0,3,0,5
1185,1213,0,0,0,1,0,0,0,0,3,0,4
1186,1214,0,1,0,0,0,0,0,0,4,0,5
1187,1215,0,2,0,0,0,0,0,0,3,0,5
1188,1216,0,2,0,0,0,0,0,0,3,0,5
1189,1217,0,0,0,0,0,0,0,0,3,0,3
1190,1218,0,3,0,0,0,0,0,0,2,1,6
1191,1219,0,2,0,0,0,0,0,0,1,0,3
1192,1220,0,16,10,9,0,0,0,0,10,5,50
1193,1221,0,0,4,4,1,1,0,0,6,4,20
1194,1222,0,0,0,0,0,0,2,0,0,1,3
1195,1223,0,0,0,0,0,0,1,0,0,0,1
1196,1224,0,0,0,2,0,0,0,0,0,0,2
1197,1225,0,2,4,2,8,0,1,0,14,9,40
1198,1226,0,6,0,0,0,0,0,0,10,2,18
1199,1227,0,3,0,0,0,0,0,0,16,1,20
1200,1228,0,5,1,0,0,0,0,0,10,2,18
1201,1229,0,5,1,0,1,0,0,0,4,1,12
1202,1230,0,5,1,1,1,0,0,0,9,1,18
1203,1231,0,2,0,1,0,0,1,0,10,0,14
1204,1232,0,3,0,0,0,0,0,0,6,0,9
1205,1233,1,5,1,0,1,0,1,0,2,1,12
1206,1234,2,1,0,0,0,1,2,1,2,1,10
1207,1235,2,3,0,1,1,2,6,0,5,1,21
1208,1236,0,4,0,1,0,1,2,0,10,3,21
1209,1237,1,2,2,8,2,1,5,0,8,3,32
1210,1238,0,7,0,6,2,0,0,0,4,0,19
1211,1239,2,3,0,0,0,0,0,0,1,1,7
1212,1240,1,2,0,0,0,0,1,0,0,0,4
1213,1241,0,4,0,0,1,0,2,0,1,0,8
1214,1242,0,3,0,0,2,0,0,0,4,3,12
1215,1243,0,8,0,4,1,0,3,0,7,3,26
1216,1244,0,5,0,2,0,0,0,0,5,0,12
1217,1245,0,4,5,0,0,1,1,0,2,0,13
1218,1246,0,3,3,1,0,2,0,1,1,0,11
1219,1247,0,1,0,0,0,0,0,0,3,0,4
1220,1248,0,3,3,0,0,0,0,2,4,1,13
1221,1249,0,6,3,1,0,0,0,2,7,1,20
1222,1250,0,2,0,0,0,0,0,0,5,0,7
1223,1251,0,4,0,0,0,0,0,0,5,0,9
1224,1252,0,4,0,0,0,0,0,0,4,0,8
1225,1253,0,2,0,0,0,0,0,0,2,0,4
1226,1254,0,0,2,1,1,0,0,0,2,0,6
