pattern	cycle_lane	is_shared	cycle_way	side_walk	bikable	description
('highway=primary', 'sidewalk=both', 'lanes=2')				both		two way sidewalk
('highway=secondary', 'sidewalk=both', 'oneway=yes', 'lanes=5')				both		two way sidewalk
('highway=tertiary', 'sidewalk=both')				both		two way sidewalk
('highway=tertiary', 'cycleway=shared_lane', 'sidewalk=both', 'lanes=2')	both	1		both		two way shared cycle lanes, two way sidewalk
('highway=secondary', 'sidewalk=both', 'lanes=8')				both		two way sidewalk
('highway=primary', 'sidewalk=both', 'lanes=5')				both		two way sidewalk
('highway=tertiary', 'bicycle=yes', 'sidewalk=both', 'oneway=yes', 'lanes=2')				both	yes	bikable tertiary,two way sidewalk
('highway=residential', 'sidewalk=both', 'oneway=no')				both		two way sidewalk
('highway=primary', 'sidewalk=both', 'lanes=3')				both		two way sidewalk
('highway=residential', 'bicycle=yes', 'sidewalk=both', 'oneway=yes')				both	yes	bikable residential,two way sidewalk
('highway=secondary', 'sidewalk=both', 'lanes=3')				both		two way sidewalk
('highway=primary', 'bicycle=yes', 'foot=yes', 'lanes=6')					yes	bikable primary
('highway=tertiary', 'bicycle=designated', 'sidewalk=both', 'oneway=no', 'lanes=4')				both	yes	bikable tertiary,two way sidewalk
('highway=primary', 'sidewalk=yes', 'oneway=no', 'lanes=4')				both		two way sidewalk
('highway=secondary', 'foot=designated', 'sidewalk=both', 'lanes=6')				both		two way sidewalk
('highway=primary', 'sidewalk=both', 'oneway=yes', 'lanes=1')				both		two way sidewalk
('highway=tertiary', 'sidewalk=yes', 'oneway=yes', 'lanes=1')				both		two way sidewalk
('highway=tertiary', 'sidewalk=separate', 'oneway=yes', 'lanes=1')				both		two way sidewalk
('highway=tertiary', 'sidewalk=both', 'oneway=no', 'lanes=2')				both		two way sidewalk
('highway=tertiary_link', 'sidewalk=both', 'oneway=yes', 'lanes=1')				both		two way sidewalk
('highway=service', 'sidewalk=yes')				both		two way sidewalk
('highway=residential', 'sidewalk=both', 'oneway=yes', 'lanes=3')				both		two way sidewalk
('highway=tertiary', 'sidewalk=separate', 'oneway=yes', 'lanes=2')				both		two way sidewalk
('highway=tertiary', 'sidewalk=both', 'lanes=5')				both		two way sidewalk
('highway=unclassified', 'sidewalk=both')				both		two way sidewalk
('highway=residential', 'sidewalk=both', 'oneway=no', 'lanes=2')				both		two way sidewalk
('highway=tertiary', 'bicycle=yes', 'sidewalk=both', 'oneway=yes', 'lanes=4')				both	yes	bikable tertiary,two way sidewalk
('highway=service', 'sidewalk=both', 'oneway=yes')				both		two way sidewalk
('highway=secondary', 'sidewalk=both', 'lanes=7')				both		two way sidewalk
('highway=primary', 'sidewalk=both', 'lanes=7')				both		two way sidewalk
('highway=residential', 'bicycle=designated', 'sidewalk=both', 'lanes=2')				both	yes	bikable residential,two way sidewalk
('highway=residential', 'sidewalk=both', 'lanes=4')				both		two way sidewalk
