0,1,2
"('highway=service', 'cycleway=no', 'bicycle=yes', 'foot=yes', 'sidewalk=none', 'oneway=no')",sidewalk,2
"('highway=secondary', 'sidewalk=no', 'oneway=yes', 'lanes=2')",sidewalk,2
"('highway=secondary', 'sidewalk=left', 'oneway=yes', 'lanes=1')",sidewalk,2
"('highway=secondary', 'sidewalk=both', 'lanes=7')",sidewalk,2
"('highway=secondary', 'foot=designated', 'sidewalk=right', 'oneway=yes', 'lanes=2')",sidewalk,2
"('highway=tertiary', 'cycleway:right=lane', 'lanes=2')",L2,2
"('bicycle=no',)",,2
"('highway=unclassified', 'sidewalk=right', 'oneway=yes', 'lanes=1')",sidewalk,2
"('highway=cycleway', 'bicycle=yes', 'foot=no')",,2
"('highway=primary', 'cycleway=lane', 'bicycle=yes', 'lanes=5')","L1b_2,L1a_1",2
"('highway=primary', 'cycleway=lane', 'lanes=2')","L1b_2,L1a_1",2
"('highway=pedestrian', 'bicycle=yes', 'sidewalk=yes')","pedestrian,sidewalk",2
"('highway=primary', 'sidewalk=right', 'lanes=4')",sidewalk,2
"('highway=primary', 'foot=no', 'oneway=yes', 'lanes=2')",,2
"('highway=cycleway', 'cycleway=track')",T1_3,2
"('highway=cycleway', 'cycleway=track', 'bicycle=designated', 'foot=yes')",T1_3,2
"('highway=residential', 'bicycle=yes', 'oneway=yes')",,2
"('highway=primary', 'sidewalk=both', 'lanes=7')",sidewalk,2
"('highway=cycleway', 'foot=yes', 'oneway=no')","T3_2,T2_2",2
"('highway=primary', 'sidewalk=left', 'lanes=4')",sidewalk,2
"('highway=motorway_link', 'sidewalk=right', 'oneway=yes', 'lanes=1')",sidewalk,2
"('highway=residential', 'bicycle=designated', 'sidewalk=both', 'lanes=2')",sidewalk,2
"('highway=footway', 'bicycle=dismount')",foot,2
"('highway=motorway_link', 'bicycle=no', 'oneway=yes', 'lanes=1')",,2
"('highway=footway', 'sidewalk=no')","foot,sidewalk",2
"('highway=motorway', 'bicycle=no', 'foot=no', 'oneway=yes', 'lanes=2')",,2
"('highway=primary_link', 'cycleway=lane', 'oneway=yes', 'lanes=1')","M4_2,M2a_2,M2b_2,L1b_2,L1a_1",2
"('highway=motorway', 'foot=no', 'oneway=yes', 'lanes=2')",,2
"('highway=residential', 'cycleway=lane', 'oneway=yes')","M4_2,M2a_2,M2b_2,L1b_2,L1a_1",2
"('highway=primary', 'sidewalk=right', 'lanes=3')",sidewalk,2
